problem_id,contest_id,problem_index,rating,difficulty_tier,tier_name,total_submissions,acceptance_rate,wa_ratio,tle_ratio,mle_ratio,re_ratio,avg_solve_time_min,median_solve_time_min,first_solve_time_min,unique_solvers,solver_rating_mean,solver_rating_std,attempts_per_solver,tag_count,tags,contest_position,round_type,solve_pressure,elite_selectivity,attempt_waste
CF_00089,1178,B,900,1,Beginner,22637,0.6762,0.168,0.042,0.013,0.023,12.35,10.2,2.89,13231,1446,302,1.01,3,number theory|dfs and bfs|dp,2,Educational,3.998,0.1893,0.17
CF_00090,90,A,900,1,Beginner,39946,0.6468,0.246,0.042,0.014,0.024,11.11,10.08,2.83,23787,1171,226,1.96,3,dfs and bfs|data structures|dp,1,Educational,3.924,0.2103,0.482
CF_00091,1701,B,1100,1,Beginner,32768,0.7768,0.179,0.012,0.012,0.022,15.2,13.76,2.6,22076,1317,231,1.0,2,strings|flows,2,Div2,3.393,0.1504,0.179
CF_00092,970,B,1200,2,Easy-Medium,27863,0.4879,0.2,0.06,0.015,0.025,16.41,15.47,2.58,13121,1538,311,2.35,2,math|dfs and bfs,2,Educational,8.405,0.2411,0.47
CF_00093,1893,A,900,1,Beginner,59701,0.7496,0.148,0.095,0.013,0.023,17.53,15.0,5.43,40598,1349,252,1.32,4,strings|graphs|two pointers|geometry,1,Div3,4.39,0.1703,0.195
CF_00094,87,A,1100,1,Beginner,41451,0.7572,0.127,0.056,0.012,0.022,15.05,12.92,2.57,28496,1236,274,1.41,3,graphs|geometry|two pointers,1,Educational,3.654,0.1669,0.179
CF_00095,259,B,1200,2,Easy-Medium,50044,0.6588,0.237,0.041,0.013,0.023,20.84,17.29,5.78,30937,1164,243,1.77,4,graphs|flows|number theory|constructive,2,Div1,7.109,0.2109,0.419
CF_00096,233,A,800,1,Beginner,43593,0.8491,0.08,0.09,0.012,0.022,14.84,13.03,3.33,32123,1270,274,1.1,2,strings|constructive,1,Div2,2.24,0.1112,0.088
CF_00097,354,A,800,1,Beginner,40668,0.6146,0.145,0.078,0.014,0.024,12.81,11.25,4.48,22841,1434,270,2.12,1,flows,1,Educational,4.938,0.2165,0.307
CF_00098,249,C,1200,2,Easy-Medium,36916,0.733,0.146,0.006,0.013,0.023,11.73,9.72,3.03,25505,1450,350,1.0,4,constructive|graphs|trees|strings,3,Div2,3.131,0.1844,0.146
CF_00099,257,A,900,1,Beginner,44419,0.6561,0.144,0.048,0.013,0.023,9.72,9.21,1.71,26281,1117,301,1.3,3,two pointers|dfs and bfs|binary search,1,Div2,3.343,0.2034,0.187
CF_00100,623,B,1000,1,Beginner,33375,0.6433,0.184,0.018,0.014,0.024,17.07,15.42,3.18,20790,939,331,1.33,1,greedy,2,Div2,6.091,0.2222,0.245
CF_00101,1213,B,900,1,Beginner,57465,0.8989,0.163,0.09,0.011,0.021,10.36,8.6,1.96,48105,1216,320,1.0,2,greedy|dfs and bfs,2,Div2,1.047,0.0846,0.163
CF_00102,1020,A,1100,1,Beginner,52462,0.8288,0.16,0.005,0.012,0.022,15.3,14.19,2.38,40217,971,344,1.21,2,trees|number theory,1,Div1,2.62,0.1313,0.194
CF_00103,1504,B,1100,1,Beginner,24677,0.6836,0.175,0.065,0.013,0.023,14.17,12.45,4.08,15356,1002,312,1.58,2,graphs|strings,2,Div3,4.484,0.1969,0.276
CF_00104,1913,A,1000,1,Beginner,48591,0.7127,0.135,0.072,0.013,0.023,11.47,9.8,2.29,31163,1495,317,1.4,2,implementation|flows,1,Div3,3.295,0.1843,0.189
CF_00105,1224,A,1100,1,Beginner,40524,0.6626,0.259,0.112,0.013,0.023,6.46,5.72,1.09,23662,1347,255,1.56,2,dp|data structures,1,Educational,2.181,0.197,0.404
CF_00106,923,A,1100,1,Beginner,37164,0.6547,0.222,0.043,0.013,0.023,14.7,12.75,3.39,22460,1387,302,1.4,2,math|greedy,1,Educational,5.074,0.2087,0.311
CF_00107,80,A,1200,2,Easy-Medium,19608,0.6682,0.145,0.013,0.013,0.023,14.01,12.17,4.87,11382,1322,254,1.25,2,binary search|dfs and bfs,1,Div1,4.649,0.1926,0.181
CF_00108,1004,B,900,1,Beginner,36841,0.5618,0.186,0.048,0.014,0.024,14.4,13.55,3.08,19858,1155,246,1.86,2,dfs and bfs|flows,2,Educational,6.309,0.2362,0.346
CF_00109,1478,C,1200,2,Easy-Medium,28801,0.6807,0.235,0.043,0.013,0.023,15.6,13.42,5.15,18184,1405,329,1.02,1,constructive,3,Div2,4.983,0.2016,0.24
CF_00110,841,B,800,1,Beginner,35332,0.6924,0.142,0.011,0.013,0.023,14.0,12.72,2.19,20855,1122,308,1.25,2,graphs|binary search,2,Div2,4.305,0.1815,0.177
CF_00111,1119,B,1100,1,Beginner,46430,0.5199,0.305,0.006,0.015,0.025,14.64,12.4,3.15,21504,1292,264,1.42,1,data structures,2,Div3,7.027,0.2223,0.433
CF_00112,650,B,1000,1,Beginner,30619,0.5583,0.183,0.007,0.014,0.024,12.66,11.96,2.61,16712,1527,261,2.29,3,geometry|implementation|data structures,2,Educational,5.594,0.2411,0.419
CF_00113,710,B,1000,1,Beginner,24925,0.8905,0.171,0.015,0.011,0.021,16.52,14.36,5.72,21189,1501,331,1.0,1,math,2,Div2,1.808,0.093,0.171
CF_00114,847,A,1000,1,Beginner,30358,0.596,0.22,0.102,0.014,0.024,12.45,10.65,2.14,15499,1559,288,1.29,3,implementation|constructive|data structures,1,Div2,5.028,0.2062,0.284
CF_00115,1096,A,1000,1,Beginner,40818,0.6794,0.194,0.04,0.013,0.023,5.89,5.14,1.99,24292,1062,322,1.09,4,strings|math|constructive|dp,1,Div2,1.889,0.1908,0.211
CF_00116,1902,B,1200,2,Easy-Medium,37024,0.5116,0.267,0.038,0.015,0.025,14.49,13.62,5.06,18405,1136,252,1.97,4,data structures|math|dp|trees,2,Div2,7.078,0.2428,0.526
CF_00117,1620,A,1000,1,Beginner,33838,0.97,0.098,0.027,0.01,0.02,18.88,16.63,3.56,29857,1057,308,1.04,1,graphs,1,Div3,0.566,0.0265,0.102
CF_00118,483,A,1000,1,Beginner,22691,0.6574,0.229,0.091,0.013,0.023,17.86,15.84,2.99,12952,958,277,1.2,2,implementation|dp,1,Div4,6.118,0.1955,0.275
CF_00119,1309,A,1000,1,Beginner,42738,0.4967,0.193,0.111,0.015,0.025,17.72,16.13,2.88,19162,1267,315,1.99,2,data structures|geometry,1,Div2,8.919,0.2257,0.384
CF_00120,1077,B,1000,1,Beginner,36007,0.767,0.228,0.029,0.012,0.022,3.64,3.16,1.06,26354,1450,347,1.0,3,trees|implementation|constructive,2,Div2,0.849,0.1705,0.228
CF_00121,1841,A,1000,1,Beginner,30245,0.705,0.21,0.033,0.013,0.023,16.33,13.82,4.2,19348,765,330,1.78,2,geometry|number theory,1,Div2,4.819,0.1887,0.374
CF_00122,706,A,1100,1,Beginner,37984,0.7302,0.211,0.06,0.013,0.023,9.17,8.32,1.94,23587,1115,320,1.26,1,greedy,1,Div4,2.475,0.1675,0.266
CF_00123,770,B,1200,2,Easy-Medium,79188,0.8325,0.182,0.032,0.012,0.022,13.75,12.01,4.18,61570,1215,300,1.0,2,data structures|binary search,2,Div4,2.304,0.1302,0.182
CF_00124,869,A,800,1,Beginner,34389,0.5991,0.125,0.038,0.014,0.024,11.83,10.52,3.02,17522,1369,286,1.29,1,math,1,Educational,4.74,0.2042,0.161
CF_00125,915,A,1100,1,Beginner,35393,0.7647,0.148,0.045,0.012,0.022,15.5,14.25,2.42,26300,1713,260,1.0,3,implementation|data structures|greedy,1,Div1,3.647,0.1748,0.148
CF_00126,486,B,1100,1,Beginner,29972,0.5589,0.219,0.059,0.014,0.024,9.25,8.49,2.82,14748,1357,370,2.34,3,number theory|strings|data structures,2,Div3,4.078,0.217,0.512
CF_00127,1610,B,1000,1,Beginner,68171,0.536,0.162,0.049,0.015,0.025,12.35,11.07,3.67,33698,1555,317,2.08,1,strings,2,Div4,5.729,0.2294,0.337
CF_00128,796,B,1100,1,Beginner,36527,0.8048,0.192,0.057,0.012,0.022,13.1,12.19,2.75,28483,957,270,1.0,2,binary search|dfs and bfs,2,Div2,2.557,0.1522,0.192
CF_00129,445,B,900,1,Beginner,41645,0.8005,0.211,0.049,0.012,0.022,10.22,9.49,1.64,28509,1465,250,1.41,1,trees,2,Educational,2.039,0.1365,0.298
CF_00130,780,A,1000,1,Beginner,49015,0.9097,0.116,0.086,0.011,0.021,13.5,12.37,4.04,41931,1398,292,1.0,3,binary search|implementation|dfs and bfs,1,Div3,1.22,0.0773,0.116
CF_00131,34,A,1000,1,Beginner,30376,0.7022,0.177,0.077,0.013,0.023,11.52,10.92,2.81,19157,1242,337,1.0,2,number theory|flows,1,Div2,3.431,0.1878,0.177
CF_00132,944,B,900,1,Beginner,26238,0.6808,0.189,0.017,0.013,0.023,13.78,12.32,2.74,15967,1411,198,1.1,3,two pointers|geometry|constructive,2,Educational,4.398,0.1942,0.208
CF_00133,1726,A,900,1,Beginner,40731,0.6366,0.235,0.071,0.014,0.024,15.75,14.94,5.38,22291,1721,214,1.33,3,dp|trees|data structures,1,Div2,5.722,0.1989,0.313
CF_00134,1098,B,1100,1,Beginner,44298,0.8601,0.212,0.035,0.011,0.021,9.85,8.93,2.69,32418,1488,243,1.08,2,dp|data structures,2,Div3,1.378,0.1024,0.229
CF_00135,832,A,900,1,Beginner,64945,0.7377,0.143,0.006,0.013,0.023,14.3,11.91,2.57,45802,1177,307,1.56,1,binary search,1,Div3,3.752,0.185,0.223
CF_00136,170,B,1000,1,Beginner,6816,0.6112,0.209,0.092,0.014,0.024,15.73,14.65,4.75,3840,943,322,1.63,1,dp,2,Div2,6.115,0.219,0.341
CF_00137,1842,A,1100,1,Beginner,52222,0.613,0.115,0.13,0.014,0.024,19.8,18.61,3.88,29570,1154,339,1.2,1,data structures,1,Div3,7.663,0.2191,0.138
CF_00138,680,A,1100,1,Beginner,38996,0.711,0.226,0.029,0.013,0.023,17.2,15.78,5.03,24151,1161,277,1.34,1,flows,1,Educational,4.971,0.179,0.303
CF_00139,1605,B,1000,1,Beginner,42243,0.6706,0.271,0.036,0.013,0.023,4.2,3.48,1.0,26911,1237,309,1.11,4,binary search|trees|strings|dp,2,Div3,1.385,0.2098,0.301
CF_00140,1515,B,1000,1,Beginner,30203,0.725,0.233,0.028,0.013,0.023,10.96,9.11,3.0,18845,908,308,1.0,1,geometry,2,Div2,3.013,0.1716,0.233
